"Building","Date","Samples","Pumping_Time","Sample_Time","Pumping_Volume","Sample_Volume","Exported_Volume","organism_1","organism_2","organism_3","organism_26"
"SWP","1993-05-12",8,960,240,1843.0838784,460.7709696,1804.58124,12,0,0,38
"CVP","1993-05-12",12,1440,120,1625.13513216,135.42792768,1914.36096,18,0,1,0
"SWP","1993-05-13",8,1020,230,1958.2766208,441.5721792,2116.65168,19,0,0,66
"CVP","1993-05-13",11,1440,110,2024.13017088,155.05147008,1927.92924,58,0,0,0
"SWP","1993-05-14",8,840,230,1958.2766208,556.7649216,2043.87636,14,0,0,56
"CVP","1993-05-14",8,1440,80,2305.28201472,149.63163456,1398.76632,29,0,0,1
"SWP","1993-05-15",7,960,210,1843.0838784,403.1745984,1800.8808,7,2,0,37
"CVP","1993-05-15",12,1440,120,2096.30403072,174.69200256,1927.92924,54,0,0,2
"SWP","1993-05-16",8,1020,240,1958.2766208,460.7709696,1803.34776,5,0,0,56
"CVP","1993-05-16",12,1440,120,2070.4111488,172.5342624,1916.82792,37,1,1,11
"SWP","1993-05-17",12,1380,320,7372.3355136,1670.2947648,7621.67292,39,1,0,193
"CVP","1993-05-17",12,1440,120,1957.05333504,163.08777792,1914.36096,36,0,0,6
"SWP","1993-05-18",12,1440,350,8293.8774528,2015.872992,8074.36008,31,0,0,181
"CVP","1993-05-18",12,1440,120,5809.79183616,484.14931968,4890.7482,73,0,0,10
"SWP","1993-05-19",12,1440,350,7372.3355136,1785.4875072,7493.391,34,1,0,327
"CVP","1993-05-19",12,1440,120,8648.6303232,720.7191936,7235.59368,59,1,24,2
"SWP","1993-05-20",12,1440,320,7372.3355136,1612.6983936,7471.18836,48,2,106,336
"CVP","1993-05-20",12,1440,120,9000.12109824,750.01009152,6715.06512,67,0,1415,4
"SWP","1993-05-21",12,1440,190,7372.3355136,921.5419392,7588.36896,21,1,560,203
"CVP","1993-05-21",12,1440,120,7678.56471552,639.88039296,6740.9682,85,1,282,1
"SWP","1993-05-22",12,1440,150,7372.3355136,681.5570592,7579.7346,18,2,621,123
"CVP","1993-05-22",12,1440,120,6931.34099712,577.61174976,6712.59816,51,0,170,2
"SWP","1993-05-23",12,1500,165,7717.9137408,758.3522208,7589.60244,26,1,1147,141
"CVP","1993-05-23",11,1440,110,7380.69463296,561.67505472,6736.03428,30,0,399,0
"SWP","1993-05-24",8,960,47,7257.1427712,332.13907392,6946.95936,6,0,1327,49
"CVP","1993-05-24",11,1440,110,7865.7274368,607.24244928,6743.43516,13,0,540,0
"SWP","1993-05-25",12,1380,104,7026.7572864,483.80951808,7576.03416,5,0,615,38
